,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Aeugst am Albis,1,2,28,30,0,0,0,6,0,1
Affoltern am Albis,1,3,45,34,0,0,0,27,0,1
Bonstetten,0,3,20,52,8,0,0,2,0,1
Hausen am Albis,0,3,30,31,0,1,0,13,1,1
Hedingen,2,2,44,30,0,1,0,0,1,1
Kappel am Albis,0,4,9,7,0,0,0,0,0,1
Knonau,0,1,14,6,0,1,0,5,0,1
Maschwanden,0,2,2,0,0,0,0,0,0,1
Mettmenstetten,0,3,27,48,0,0,0,0,1,1
Obfelden,0,6,40,27,0,0,0,2,0,1
Ottenbach,0,0,8,8,0,0,0,0,0,1
Rifferswil,0,2,2,3,0,2,0,0,0,1
Stallikon,0,2,70,17,0,0,0,0,1,1
Wettswil am Albis,0,0,33,18,0,0,0,0,0,1
Benken (ZH),0,2,2,1,0,0,0,15,0,1
Berg am Irchel,0,0,3,8,0,0,0,15,0,1
Buch am Irchel,0,3,20,15,0,0,0,0,0,1
Dachsen,0,0,6,6,0,0,1,0,1,1
Dorf,0,1,10,19,0,0,0,0,1,1
Feuerthalen,0,1,1,4,0,23,0,2,0,1
Flaach,0,1,13,13,0,0,0,0,0,1
Flurlingen,0,0,21,8,0,0,0,0,2,1
Henggart,0,1,32,8,0,0,0,0,1,1
Kleinandelfingen,0,1,30,14,0,0,0,0,0,1
Laufen-Uhwiesen,0,1,6,7,0,0,0,0,0,1
Marthalen,0,2,13,8,0,0,0,5,0,1
Ossingen,0,1,6,5,0,0,0,2,0,1
Rheinau,0,2,10,6,0,0,0,7,0,1
Thalheim an der Thur,0,2,3,13,0,0,0,0,0,1
Trüllikon,0,3,9,1,0,0,0,0,1,1
Truttikon,0,1,8,6,0,0,0,0,0,1
Volken,0,0,5,0,0,0,0,0,0,1
Bachenbülach,0,0,27,19,0,1,0,2,0,1
Bassersdorf,0,1,72,7,0,0,0,0,0,1
Bülach,0,3,64,25,0,6,0,0,1,1
Dietlikon,0,0,5,4,0,57,0,5,0,1
Eglisau,0,5,15,20,0,0,0,0,2,1
Embrach,0,0,93,32,0,0,0,2,2,1
Freienstein-Teufen,0,1,10,22,0,0,0,0,0,1
Glattfelden,0,0,16,17,0,0,0,0,1,1
Hochfelden,0,1,10,6,0,36,0,5,1,1
Höri,0,2,25,31,0,0,0,0,2,1
Hüntwangen,0,0,4,7,0,0,0,0,0,1
Kloten,0,2,100,23,0,8,0,8,1,1
Lufingen,0,0,16,5,0,0,0,0,0,1
Nürensdorf,0,7,44,20,1,0,0,0,0,1
Oberembrach,0,0,4,0,0,0,0,1,0,1
Opfikon,0,0,14,10,0,28,0,0,0,1
Rafz,0,2,28,35,0,0,0,18,1,1
Rorbas,0,1,50,15,0,1,0,0,1,1
Wallisellen,0,3,10,3,0,43,1,21,0,1
Wasterkingen,0,5,6,5,0,0,0,0,1,1
Wil (ZH),0,3,24,13,0,1,0,0,0,1
Winkel,0,1,36,38,5,6,0,0,3,1
Bachs,0,2,4,2,0,0,0,0,0,1
Boppelsen,0,0,8,1,0,0,0,0,0,1
Buchs (ZH),0,0,60,21,0,3,0,0,0,1
Dällikon,0,0,20,22,0,13,0,1,0,1
Dänikon,0,12,42,14,0,0,0,0,0,1
Dielsdorf,0,6,32,14,0,0,0,0,0,1
Hüttikon,0,1,5,9,0,0,0,0,1,1
Neerach,0,0,32,23,0,0,0,0,2,1
Niederglatt,0,0,40,20,0,0,0,0,0,1
Niederhasli,0,0,79,51,5,0,0,0,0,1
Niederweningen,0,0,14,20,0,0,0,2,3,1
Oberglatt,0,0,77,29,0,0,0,0,0,1
Oberweningen,0,0,13,3,0,0,0,1,1,1
Otelfingen,0,0,10,2,0,0,0,1,0,1
Regensberg,0,0,0,0,0,0,0,0,0,1
Regensdorf,1,3,44,21,0,50,0,2,1,1
Rümlang,0,1,11,23,0,6,0,9,0,1
Schleinikon,0,4,12,5,0,0,0,0,0,1
Schöfflisdorf,0,0,8,4,0,0,0,0,0,1
Stadel,0,1,21,11,0,0,0,0,0,1
Steinmaur,0,0,25,18,0,0,0,0,0,1
Weiach,0,3,20,19,0,0,0,0,0,1
Bäretswil,0,3,26,10,0,0,0,0,0,1
Bubikon,0,1,64,13,0,12,0,3,0,1
Dürnten,0,3,24,21,3,10,0,0,1,1
Fischenthal,0,1,31,15,0,0,0,0,0,1
Gossau (ZH),0,4,64,63,1,10,0,1,1,1
Grüningen,0,1,19,23,0,0,0,0,1,1
Hinwil,0,12,60,44,0,8,0,4,1,1
Rüti (ZH),0,0,4,14,0,74,0,2,0,1
Seegräben,0,0,3,23,0,37,0,0,0,1
Wald (ZH),0,7,52,11,0,1,0,1,1,1
Wetzikon (ZH),0,5,16,10,0,43,0,1,1,1
Adliswil,0,2,38,20,0,58,0,4,2,1
Kilchberg (ZH),0,0,10,4,0,35,16,0,0,1
Langnau am Albis,1,1,14,15,0,22,1,1,1,1
Oberrieden,0,0,5,6,0,25,0,0,0,1
Richterswil,0,2,13,13,0,27,0,0,5,1
Rüschlikon,0,0,11,10,1,11,0,0,0,1
Thalwil,0,1,9,20,0,61,0,2,1,1
Erlenbach (ZH),0,0,4,5,0,41,0,1,0,1
Herrliberg,3,1,12,28,0,55,0,3,0,1
Hombrechtikon,0,2,38,22,0,0,0,0,1,1
Küsnacht (ZH),0,4,22,7,0,40,0,0,0,1
Männedorf,0,6,9,12,0,58,2,0,0,1
Meilen,0,4,15,12,0,39,0,3,0,1
Oetwil am See,0,1,20,10,0,1,0,1,1,1
Stäfa,0,3,35,33,1,92,0,1,2,1
Uetikon am See,0,0,17,16,0,31,0,0,0,1
Zumikon,1,0,22,11,0,0,0,0,0,1
Zollikon,0,2,15,8,1,28,2,2,0,1
Fehraltorf,0,3,33,2,0,6,0,0,0,1
Hittnau,0,17,64,21,0,0,0,1,1,1
Lindau,0,2,42,23,0,4,0,2,0,1
Pfäffikon,0,5,45,11,0,0,0,0,0,1
Russikon,0,3,17,15,0,0,0,2,0,1
Weisslingen,0,1,32,22,0,0,0,3,0,1
Wila,0,4,35,18,0,0,0,1,0,1
Wildberg,0,4,15,10,0,0,0,0,0,1
Dübendorf,0,2,21,12,0,89,0,3,0,1
Egg,0,1,91,65,1,6,0,1,2,1
Fällanden,0,1,11,3,0,60,2,1,0,1
Greifensee,0,0,7,6,0,4,0,0,0,1
Maur,2,4,48,38,6,26,1,7,0,1
Mönchaltorf,0,1,2,3,0,0,0,0,0,1
Schwerzenbach,0,0,7,6,0,29,0,0,0,1
Uster,1,6,29,34,0,282,0,14,2,1
Volketswil,1,33,81,35,0,95,6,5,1,1
Wangen-Brüttisellen,0,13,63,20,1,56,0,2,4,1
Altikon,0,1,9,7,0,0,0,0,0,1
Brütten,0,1,11,12,0,0,0,1,1,1
Dägerlen,0,1,23,4,0,0,0,1,0,1
Dättlikon,0,0,5,4,0,0,0,0,0,1
Dinhard,0,2,25,1,0,0,0,0,0,1
Ellikon an der Thur,0,1,9,1,0,0,0,0,0,1
Elsau,0,9,29,18,0,0,0,0,0,1
Hagenbuch,0,1,30,6,0,0,0,0,0,1
Hettlingen,0,0,35,27,0,0,0,17,2,1
Neftenbach,0,2,41,58,0,0,0,5,1,1
Pfungen,0,0,5,4,0,21,0,0,0,1
Rickenbach (ZH),0,2,7,13,0,0,0,0,0,1
Schlatt (ZH),0,1,2,5,0,0,0,0,1,1
Seuzach,0,4,55,49,0,2,1,0,4,1
Turbenthal,0,6,40,21,0,0,0,8,0,1
Winterthur,0,8,69,149,0,263,2,56,1,1
Zell (ZH),0,3,29,38,0,0,0,1,1,1
Aesch (ZH),0,1,3,4,0,0,0,0,0,1
Birmensdorf (ZH),0,2,23,8,2,0,1,1,0,1
Dietikon,0,1,35,20,0,22,1,3,0,1
Geroldswil,0,0,17,17,0,29,0,1,0,1
Oberengstringen,0,0,1,2,0,7,0,1,1,1
Oetwil an der Limmat,0,1,6,6,0,0,0,0,0,1
Schlieren,0,0,9,0,0,8,0,1,0,1
Uitikon,0,0,19,1,0,0,0,0,1,1
Unterengstringen,0,0,2,11,1,1,0,0,0,1
Urdorf,0,0,23,1,0,46,0,9,0,1
Weiningen (ZH),0,0,17,10,0,10,0,0,0,1
Zürich,0,1,56,31,1,447,0,145,0,1
Andelfingen,0,3,16,16,1,0,0,8,0,1
Stammheim,0,4,17,7,0,0,0,14,0,1
Wädenswil,0,8,39,31,1,98,0,14,4,1
Elgg,0,4,23,39,0,0,0,3,0,1
Horgen,0,9,16,23,0,52,0,11,0,1
Illnau-Effretikon,0,6,53,40,0,13,0,8,2,1
Bauma,1,6,96,21,0,0,0,0,1,1
Wiesendangen,0,3,21,34,1,50,0,0,0,1
Aarberg,0,0,7,3,0,19,0,0,0,2
Bargen (BE),0,1,8,8,0,1,0,0,0,2
Grossaffoltern,2,8,40,22,0,0,0,1,2,2
Kallnach,0,5,24,6,0,0,0,0,2,2
Kappelen,0,2,6,3,0,0,0,0,1,2
Lyss,1,4,39,19,0,126,0,5,5,2
Meikirch,0,4,18,13,0,0,0,1,2,2
Radelfingen,0,6,7,7,0,0,0,0,0,2
